ID,ID_old,fullid,POINT_X,POINT_Y,id,season,year,dist_final_95kernel,dist_raw,dist_final
18,9,Backpans Dry 2015,530459.806,7892029.342,Backpans,Dry,2015,9399.7212,12533.4679,12533.4679
21,25,Bhubesi Wet 2011,496241.7215,7938308.96,Bhubesi,Wet,2011,23254.7355,51828.7044,51828.7044
23,26,Bhubesi Wet 2012,526865.1061,7903007.913,Bhubesi,Wet,2012,2852.8492,2949.0592,2949.0592
25,27,Bhubesi Wet 2013,532416.2435,7895309.068,Bhubesi,Wet,2013,1212.7049,2572.1471,2572.1471
28,28,Bhubesi Wet 2016,517460.4374,7895296.877,Bhubesi,Wet,2016,,,
20,20,Bhubesi Dry 2010,497633.2341,7941719.79,Bhubesi,Dry,2010,4902.8953,3683.7571,3683.7571
22,21,Bhubesi Dry 2011,524497.4852,7894859.835,Bhubesi,Dry,2011,39602.8491,8485.0922,8485.0922
24,22,Bhubesi Dry 2012,525843.407,7900241.492,Bhubesi,Dry,2012,6449.4306,8217.7239,8217.7239
26,23,Bhubesi Dry 2013,533890.0666,7893201.039,Bhubesi,Dry,2013,,16841.1808,
27,24,Bhubesi Dry 2015,517138.2095,7894933.279,Bhubesi,Dry,2015,4424.835,485.8337,485.8337
29,32,Cecil Wet 2009,516216.8295,7895154.028,Cecil,Wet,2009,,20355.4097,
30,33,Cecil Wet 2011,536293.178,7891795.021,Cecil,Wet,2011,2001.3102,863.2207,863.2207
32,34,Cecil Wet 2012,537014.3037,7890611.898,Cecil,Wet,2012,2191.046,1960.4233,1960.4233
34,35,Cecil Wet 2013,538355.6848,7886121.56,Cecil,Wet,2013,,29239.8499,
35,36,Cecil Wet 2014,510881.0024,7896127.091,Cecil,Wet,2014,,6844.5267,
36,37,Cecil Wet 2015,512322.4706,7902818.109,Cecil,Wet,2015,4583.4159,12892.4757,12892.4757
31,29,Cecil Dry 2011,536014.1226,7892611.892,Cecil,Dry,2011,3135.2119,2236.1431,2236.1431
33,30,Cecil Dry 2012,535463.7703,7891811.526,Cecil,Dry,2012,7990.7251,6382.7014,6382.7014
37,31,Cecil Dry 2015,515472.1894,7915319.916,Cecil,Dry,2015,,,
39,40,Chikarubi Wet 2012,504915.7324,7939556.298,Chikarubi,Wet,2012,3715.6326,2559.6786,2559.6786
38,38,Chikarubi Dry 2011,503964.5756,7940432.11,Chikarubi,Dry,2011,9599.5966,1292.9599,1292.9599
40,39,Chikarubi Dry 2012,507158.4213,7938322.483,Chikarubi,Dry,2012,,,
41,43,Daniel Wet 2009,459815.085,7905252.648,Daniel,Wet,2009,,39294.3622,
42,44,Daniel Wet 2011,425478.7949,7924359.351,Daniel,Wet,2011,2390.52,2037.2471,2037.2471
44,45,Daniel Wet 2012,428548.8007,7927168.905,Daniel,Wet,2012,5307.6346,3870.3996,3870.3996
46,46,Daniel Wet 2013,425671.151,7928090.527,Daniel,Wet,2013,,,
43,41,Daniel Dry 2011,426095.0384,7926301.159,Daniel,Dry,2011,3678.5875,2602.6779,2602.6779
45,42,Daniel Dry 2012,424681.0281,7927311.479,Daniel,Dry,2012,4239.4659,1259.8647,1259.8647
48,50,Frisky Wet 2012,499704.1719,7939927.864,Frisky,Wet,2012,2613.1764,3659.9912,3659.9912
50,51,Frisky Wet 2013,502206.0684,7936279.207,Frisky,Wet,2013,,1887.6844,
51,52,Frisky Wet 2015,502566.8706,7938132.09,Frisky,Wet,2015,2929.8346,4726.8061,4726.8061
53,53,Frisky Wet 2016,504761.1822,7945948.966,Frisky,Wet,2016,,,
